ID, NameEN, RewayatEN, NameAR, RewayatAR 
61, Fawaz Alkabi, Rewayat Hafs A'n Assem, فواز الكعبي, حفص عن عاصم
62, Hamad Al Daghriri, Rewayat Hafs A'n Assem, حمد الدغريري, حفص عن عاصم
63, Hani Arrifai, Rewayat Hafs A'n Assem, هاني الرفاعي, حفص عن عاصم
64, Hatem Fareed Alwaer, Rewayat Hafs A'n Assem, حاتم فريد الواعر, حفص عن عاصم
65, Hussain Alshaik, Rewayat Hafs A'n Assem, حسين آل الشيخ, حفص عن عاصم
66, Ibrahem Assadan, Rewayat Hafs A'n Assem, ابراهيم السعدان, حفص عن عاصم
67, Ibrahim Al-Akdar, Rewayat Hafs A'n Assem, إبراهيم الأخضر, حفص عن عاصم
68, Ibrahim Al-Asiri, Rewayat Hafs A'n Assem, ابراهيم العسيري, حفص عن عاصم
69, Ibrahim Al-Jebreen, Rewayat Hafs A'n Assem, ابراهيم الجبرين, حفص عن عاصم
70, Ibrahim Aldosari, Rewayat Warsh A'n Nafi', ابراهيم الدوسري, ورش عن نافع
71, Ibrahim Aljormy, Rewayat Hafs A'n Assem, ابراهيم الجرمي, حفص عن عاصم
72, Idrees Abkr, Rewayat Hafs A'n Assem, إدريس أبكر, حفص عن عاصم
73, Jamaan Alosaimi, Rewayat Hafs A'n Assem, جمعان العصيمي, حفص عن عاصم
74, Jamal Addeen Alzailaie, Rewayat Hafs A'n Assem, جمال الدين الزيلعي, حفص عن عاصم
75, Jamal Shaker Abdullah, Rewayat Hafs A'n Assem, جمال شاكر عبدالله, حفص عن عاصم
76, Khaled Al-Qahtani, Rewayat Hafs A'n Assem, خالد القحطاني, حفص عن عاصم
77, Khalid Abdulkafi, Rewayat Hafs A'n Assem, خالد عبدالكافي, حفص عن عاصم
78, Khalid Al-Jileel, Rewayat Hafs A'n Assem, خالد الجليل, حفص عن عاصم
79, Khalid Al-Shoraimy, Rewayat Hafs A'n Assem, خالد الشريمي, حفص عن عاصم
80, Khalid Al-Wehabi, Rewayat Hafs A'n Assem, خالد الوهيبي, حفص عن عاصم
81, Khalid Almohana, Rewayat Hafs A'n Assem, خالد المهنا, حفص عن عاصم
82, Khalifa Altunaiji, Rewayat Hafs A'n Assem, خليفة الطنيجي, حفص عن عاصم
83, Lafi Al-Oni, Rewayat Hafs A'n Assem, لافي العوني, حفص عن عاصم
84, Maher Al Meaqli, Rewayat Hafs A'n Assem, ماهر المعيقلي, حفص عن عاصم
85, Maher Al Meaqli, Almusshaf Al Mo'lim, ماهر المعيقلي, المصحف المعلم
86, Maher Shakhashero, Rewayat Hafs A'n Assem, ماهر شخاشيرو, حفص عن عاصم
87, Mahmood Al-Rifai, Rewayat Hafs A'n Assem, محمود الرفاعي, حفص عن عاصم
88, Mahmood Al-Sheimy, Rewayat AlDorai A'n Al-Kisa'ai, محمود الشيمي, الدوري عن الكسائي
89, Mahmoud Ali  Al-Banna, Almusshaf Al Mojawwad, محمود علي البنا, المصحف المجود
90, Mahmoud Ali  Al-Banna, Rewayat Hafs A'n Assem, محمود علي البنا, حفص عن عاصم
91, Mahmoud Khalil Al-Hussary, Rewayat Warsh A'n Nafi', محمود خليل الحصري, ورش عن نافع
92, Mahmoud Khalil Al-Hussary, Almusshaf Al Mojawwad, محمود خليل الحصري, المصحف المجود
93, Mahmoud Khalil Al-Hussary, Rewayat Hafs A'n Assem, محمود خليل الحصري, حفص عن عاصم
94, Majed Al-Enezi, Rewayat Hafs A'n Assem, ماجد العنزي, حفص عن عاصم
95, Majed Al-Zamil, Rewayat Hafs A'n Assem, ماجد الزامل, حفص عن عاصم
96, Malik Shaibat Al-Hamed, Rewayat Hafs A'n Assem, مالك شيبة الحمد, حفص عن عاصم
97, Mishary Al-Afasi, Rewayat AlDorai A'n Al-Kisa'ai, مشاري العفاسي, الدوري عن الكسائي
98, Mishary Alafasi, Rewayat Hafs A'n Assem, مشاري العفاسي, حفص عن عاصم
99, Moeedh Al-Harthi, Rewayat Hafs A'n Assem, معيض الحارثي, حفص عن عاصم
100, Mohammad Abdullkarem, Rewayat Hafs A'n Assem, محمد عبدالكريم, حفص عن عاصم
101, Mohammad Abdullkarem, Rewayat Warsh A'n Nafi' Men  Tariq Abi Baker Alasbahani, محمد عبدالكريم, ورش عن نافع من طريق أبي بكر الأصبهاني
102, Mohammad Al-Abdullah, Rewayat AlDorai A'n Al-Kisa'ai, محمد عبدالحكيم سعيد العبدالله, الدوري عن الكسائي
103, Mohammad Al-Abdullah, Rewayat Albizi and Qunbol A'n Ibn Katheer, محمد عبدالحكيم سعيد العبدالله, البزي وقنبل عن ابن كثير
104, Mohammad Al-Airawy, Rewayat Hafs A'n Assem, محمد الأيراوي, حفص عن عاصم
105, Mohammad Al-Tablaway, Rewayat Hafs A'n Assem, محمد الطبلاوي, حفص عن عاصم
106, Mohammad Al-Monshed, Rewayat Hafs A'n Assem, محمد المنشد, حفص عن عاصم
107, Mohammad Rashad Al-Shareef, Rewayat Hafs A'n Assem, محمد رشاد الشريف, حفص عن عاصم
108, Mohammad Saleh Alim Shah, Rewayat Hafs A'n Assem, محمد صالح عالم شاه, حفص عن عاصم
109, Mohammed Al-Barrak, Rewayat Hafs A'n Assem, محمد البراك, حفص عن عاصم
110, Mohammed Al-Lohaidan, Rewayat Hafs A'n Assem, محمد اللحيدان, حفص عن عاصم
111, Mohammed Al-Muhasny, Rewayat Hafs A'n Assem, محمد المحيسني, حفص عن عاصم
112, Mohammed Ayyub, Rewayat Hafs A'n Assem, محمد أيوب, حفص عن عاصم
113, Mohammed Hafas Ali, Rewayat Hafs A'n Assem, محمد حفص علي, حفص عن عاصم
114, Mohammed Jibreel, Rewayat Hafs A'n Assem, محمد جبريل, حفص عن عاصم
115, Mohammed Osman Khan (from India), Rewayat Hafs A'n Assem, محمد عثمان خان ( من الهند ), حفص عن عاصم
116, Mohammed Siddiq Al-Minshawi, Almusshaf Al Mo'lim, محمد صديق المنشاوي, المصحف المعلم
117, Mohammed Siddiq Al-Minshawi, Almusshaf Al Mojawwad, محمد صديق المنشاوي, المصحف المجود
118, Mohammed Siddiq Al-Minshawi, Rewayat Hafs A'n Assem, محمد صديق المنشاوي, حفص عن عاصم
119, Mousa Bilal, Rewayat Hafs A'n Assem, موسى بلال, حفص عن عاصم
120, Muamar (From Indonesia), Rewayat Hafs A'n Assem, معمر الأندونيسي, حفص عن عاصم
121, Muftah Alsaltany, Ibn Thakwan A'n Ibn Amer, مفتاح السلطني, ابن ذكوان عن ابن عامر
122, Muftah Alsaltany, Rewayat Hafs A'n Assem, مفتاح السلطني, حفص عن عاصم
123, Muftah Alsaltany, Sho'bah A'n Asim, مفتاح السلطني, شعبة  عن عاصم
124, Muftah Alsaltany, Rewayat Aldori A'n Abi Amr, مفتاح السلطني, الدوري عن أبي عمرو
125, Muftah Alsaltany, Rewayat AlDorai A'n Al-Kisa'ai, مفتاح السلطني, الدوري عن الكسائي
126, Muhammad Al-Hafiz, Rewayat Hafs A'n Assem, محمد الحافظ, حفص عن عاصم
127, Muhammed Khairul Anuar, Rewayat Hafs A'n Assem, محمد خير النور, حفص عن عاصم
128, Mustafa Al-Lahoni, Rewayat Hafs A'n Assem, مصطفى اللاهوني, حفص عن عاصم
129, Mustafa Ismail, Rewayat Hafs A'n Assem, مصطفى إسماعيل, حفص عن عاصم
130, Mustafa raad Alazawy, Rewayat Hafs A'n Assem, مصطفى رعد العزاوي, حفص عن عاصم
131, Nabil Al Rifay, Rewayat Hafs A'n Assem, نبيل الرفاعي, حفص عن عاصم
132, Nasser Al-Obaid, Rewayat Hafs A'n Assem, ناصر العبيد, حفص عن عاصم
133, Nasser Al-Qatami, Rewayat Hafs A'n Assem, ناصر القطامي, حفص عن عاصم
134, Neamah Al-Hassan, Rewayat Hafs A'n Assem, نعمة الحسان, حفص عن عاصم
135, Omar Al-Qazabri, Rewayat Warsh A'n Nafi', عمر القزابري, ورش عن نافع
136, Othman Al-Ansary, Rewayat Hafs A'n Assem, عثمان الأنصاري, حفص عن عاصم
137, Rachid Belalya, Rewayat Hafs A'n Assem, رشيد بلعالية, حفص عن عاصم
138, Rasheed Ifrad, Rewayat Hafs A'n Assem, رشيد إفراد, حفص عن عاصم
139, Rodziah Abdulrahman, Rewayat Hafs A'n Assem, رضية عبدالرحمن, حفص عن عاصم
140, Rogayah Sulong, Rewayat Hafs A'n Assem, رقية سولونق, حفص عن عاصم 
141, Saad Al-Ghamdi, Rewayat Hafs A'n Assem, سعد الغامدي, حفص عن عاصم
142, Saber Abdulhakm, Rewayat Hafs A'n Assem, صابر عبدالحكم, حفص عن عاصم
143, Sahl Yassin, Rewayat Hafs A'n Assem, سهل ياسين, حفص عن عاصم
144, Saidin Abdulrahman, Rewayat Hafs A'n Assem, سيدين عبدالرحمن, حفص عن عاصم
145, Salah Al-Budair, Rewayat Hafs A'n Assem, صلاح البدير, حفص عن عاصم
146, Salah Al-Hashim, Rewayat Qalon A'n Nafi', صلاح الهاشم, قالون عن نافع
147, Salah Al-Hashim, Rewayat Hafs A'n Assem, صلاح الهاشم, حفص عن عاصم
148, Saleh Al-Habdan, Rewayat Hafs A'n Assem, صالح الهبدان, حفص عن عاصم
149, Saleh Al-Talib, Rewayat Hafs A'n Assem, صالح آل طالب, حفص عن عاصم
150, Saleh Al-Sahood, Rewayat Hafs A'n Assem, صالح الصاهود, حفص عن عاصم
151, Sami Al-Dosari, Rewayat Hafs A'n Assem, سامي الدوسري, حفص عن عاصم
152, Sami Al-Hasn, Rewayat Hafs A'n Assem, سامي الحسن, حفص عن عاصم
153, Sapinah Mamat, Rewayat Hafs A'n Assem, سابينة مامات, حفص عن عاصم
154, Saud Al-Shuraim, Rewayat Hafs A'n Assem, سعود الشريم, حفص عن عاصم 
155, Sayeed Ramadan, Rewayat Hafs A'n Assem, سيد رمضان, حفص عن عاصم
156, Shaban Al-Sayiaad, Rewayat Hafs A'n Assem, شعبان الصياد, حفص عن عاصم
157, Shirazad Taher, Rewayat Hafs A'n Assem, شيرزاد عبدالرحمن طاهر, حفص عن عاصم
158, Slaah Bukhatir, Rewayat Hafs A'n Assem, صلاح بو خاطر, حفص عن عاصم 
159, Tareq Abdulgani Daawob, Rewayat Hafs A'n Assem, طارق عبدالغني دعوب, حفص عن عاصم
160, Tawfeeq As-Sayegh, Rewayat Hafs A'n Assem, توفيق الصايغ, حفص عن عاصم
161, Ustaz Zamri, Rewayat Hafs A'n Assem, استاذ زامري (من ماليزيا), حفص عن عاصم
162, Wadeea Al-Yamani, Rewayat Hafs A'n Assem, وديع اليمني, حفص عن عاصم
163, Waleed Al-Naehi, Rewayat Qalon A'n Nafi' Men Tariq Abi Nasheet, وليد النائحي, قالون عن نافع من طريق أبي نشيط
164, Walid Al-Dulaimi, Rewayat Hafs A'n Assem, وليد الدليمي, حفص عن عاصم
165, Wasel Al-Methen, Rewayat Hafs A'n Assem, واصل المذن, حفص عن عاصم
166, Wishear Hayder Arbili, Rewayat Hafs A'n Assem, وشيار حيدر اربيلي, حفص عن عاصم
167, Yahya Hawwa, Rewayat Hafs A'n Assem, يحيى حوا, حفص عن عاصم
168, Yasser Al-Dosari, Rewayat Hafs A'n Assem, ياسر الدوسري, حفص عن عاصم
169, Yasser Al-Faylakawi, Rewayat Hafs A'n Assem, ياسر الفيلكاوي, حفص عن عاصم
170, Yasser Al-Mazroyee, Rewayat Rowis and Rawh A'n Yakoob Al Hadrami , ياسر المزروعي , قراءة يعقوب الحضرمي بروايتي رويس وروح
171, Yasser Al-Qurashi, Rewayat Hafs A'n Assem, ياسر القرشي, حفص عن عاصم
172, Yasser Salamah, Rewayat Hafs A'n Assem, ياسر سلامة, حفص عن عاصم
173, Yousef Al-Shoaey, Rewayat Hafs A'n Assem, يوسف الشويعي, حفص عن عاصم
174, Yousef Bin Noah Ahmad, Rewayat Hafs A'n Assem, يوسف بن نوح أحمد, حفص عن عاصم
175, Youssef Edghouch, Rewayat Hafs A'n Assem, يوسف الدغوش ( من المغرب ), حفص عن عاصم
176, Zakaria Hamamah, Rewayat Hafs A'n Assem, زكريا حمامة, حفص عن عاصم
177, Zaki Daghistani, Rewayat Hafs A'n Assem, زكي داغستاني, حفص عن عاصم
